temperature_celsius,moisture_percent,ph_level,carbon_nitrogen_ratio,waste_type,days_to_degrade,required_action
58.8,21.5,5.6,21.7,Yard_Waste,49,Add_Water
34.6,64.4,6.7,32.7,Market_Vegetable,35,Add_Bacillus_Enzyme
31.3,33.1,6.5,15.8,Market_Vegetable,47,Add_Water
62.2,62.1,6.2,28.5,Mixed_Household,28,Optimal_No_Action
66.4,20.4,7.7,35.9,Mixed_Household,45,Add_Water
42.5,32.9,7.6,18.1,Mixed_Household,46,Add_Water
34.4,70.8,6.9,39.2,Yard_Waste,50,Add_Bacillus_Enzyme
50.7,27.5,8.2,17.4,Mixed_Household,48,Add_Water
67.3,57.1,7.9,32.3,Yard_Waste,36,Turn_Pile_Aeration
33.1,59.7,7.6,44.6,Market_Vegetable,43,Add_Bacillus_Enzyme
69.0,42.8,6.3,40.0,Market_Vegetable,35,Turn_Pile_Aeration
46.7,32.6,5.6,43.1,Yard_Waste,50,Add_Water
33.2,58.1,6.6,22.3,Mixed_Household,40,Add_Bacillus_Enzyme
47.1,79.4,7.1,31.7,Yard_Waste,43,Turn_Pile_Aeration
44.6,66.1,4.7,39.7,Mixed_Household,50,Turn_Pile_Aeration
48.1,24.0,8.2,32.0,Yard_Waste,50,Add_Water
44.2,59.3,6.1,42.4,Mixed_Household,42,Optimal_No_Action
36.4,28.4,7.5,31.2,Yard_Waste,50,Add_Water
56.3,73.9,6.1,21.6,Market_Vegetable,32,Turn_Pile_Aeration
52.9,25.5,4.7,18.3,Yard_Waste,50,Add_Water
37.2,60.8,6.9,26.5,Yard_Waste,40,Add_Bacillus_Enzyme
74.8,51.7,8.4,40.8,Market_Vegetable,38,Turn_Pile_Aeration
60.6,26.9,8.0,37.5,Yard_Waste,47,Add_Water
45.3,37.6,5.1,15.1,Yard_Waste,50,Add_Water
69.4,35.8,6.5,20.4,Market_Vegetable,34,Add_Water
69.2,37.9,7.1,33.3,Market_Vegetable,30,Add_Water
46.8,29.7,8.3,42.7,Market_Vegetable,47,Add_Water
57.0,49.3,4.9,25.9,Mixed_Household,35,Optimal_No_Action
40.8,34.5,6.8,17.4,Yard_Waste,50,Add_Water
51.9,24.2,7.5,38.0,Market_Vegetable,39,Add_Water
59.7,76.8,5.2,30.8,Yard_Waste,44,Turn_Pile_Aeration
49.0,32.7,6.7,36.9,Market_Vegetable,36,Add_Water
62.1,43.9,7.2,26.2,Yard_Waste,32,Optimal_No_Action
50.3,34.9,4.8,15.6,Yard_Waste,50,Add_Water
40.4,33.2,4.8,33.9,Market_Vegetable,48,Add_Water
33.0,21.9,5.8,30.4,Mixed_Household,50,Add_Water
60.1,32.9,5.0,43.1,Yard_Waste,50,Add_Water
55.9,34.6,6.4,27.2,Market_Vegetable,28,Add_Water
34.4,45.9,6.2,29.0,Yard_Waste,46,Add_Bacillus_Enzyme
32.4,59.2,7.1,16.8,Yard_Waste,47,Add_Sawdust_Carbon
45.3,71.7,5.5,20.7,Mixed_Household,45,Turn_Pile_Aeration
36.3,31.0,6.4,41.2,Market_Vegetable,47,Add_Water
49.9,71.7,6.7,16.5,Yard_Waste,45,Add_Sawdust_Carbon
67.6,78.1,8.2,40.5,Market_Vegetable,41,Turn_Pile_Aeration
48.3,48.9,8.0,42.1,Market_Vegetable,36,Optimal_No_Action
47.1,79.1,5.6,38.5,Mixed_Household,49,Turn_Pile_Aeration
42.8,61.8,7.4,38.5,Yard_Waste,44,Optimal_No_Action
62.3,29.3,5.7,44.1,Yard_Waste,50,Add_Water
63.1,23.7,5.8,16.5,Mixed_Household,46,Add_Water
52.6,71.2,5.1,43.8,Market_Vegetable,44,Turn_Pile_Aeration
68.3,24.1,4.8,40.9,Mixed_Household,50,Add_Water
35.4,73.4,5.5,32.8,Yard_Waste,50,Add_Bacillus_Enzyme
33.7,59.4,6.8,24.5,Mixed_Household,38,Add_Bacillus_Enzyme
39.2,63.0,5.5,26.9,Yard_Waste,46,Add_Bacillus_Enzyme
59.0,47.4,8.2,43.1,Market_Vegetable,33,Optimal_No_Action
50.6,79.9,8.5,17.2,Market_Vegetable,43,Add_Sawdust_Carbon
52.8,27.9,5.9,17.1,Market_Vegetable,41,Add_Water
46.6,29.5,7.8,36.1,Yard_Waste,50,Add_Water
74.3,68.4,6.6,35.0,Yard_Waste,43,Turn_Pile_Aeration
43.5,59.8,8.3,19.0,Market_Vegetable,37,Add_Sawdust_Carbon
70.0,64.5,5.1,23.5,Market_Vegetable,36,Turn_Pile_Aeration
62.3,32.2,7.0,22.9,Mixed_Household,33,Add_Water
41.3,74.5,4.7,34.0,Mixed_Household,50,Turn_Pile_Aeration
32.0,40.0,5.0,44.4,Market_Vegetable,50,Add_Bacillus_Enzyme
63.4,53.1,6.2,15.3,Market_Vegetable,29,Add_Sawdust_Carbon
72.5,61.5,5.1,16.1,Mixed_Household,45,Add_Sawdust_Carbon
56.2,28.9,5.0,24.2,Market_Vegetable,39,Add_Water
70.5,32.6,5.5,18.1,Yard_Waste,50,Add_Water
69.8,44.4,7.0,19.6,Market_Vegetable,29,Add_Sawdust_Carbon
68.9,78.6,7.7,41.4,Market_Vegetable,40,Turn_Pile_Aeration
38.1,75.5,7.6,27.4,Yard_Waste,47,Add_Bacillus_Enzyme
68.9,68.6,5.6,38.6,Market_Vegetable,38,Turn_Pile_Aeration
47.2,22.3,6.4,21.0,Mixed_Household,46,Add_Water
45.7,69.2,8.0,21.7,Yard_Waste,46,Turn_Pile_Aeration
38.7,39.7,8.0,44.0,Mixed_Household,50,Add_Water
45.8,50.6,7.2,40.3,Mixed_Household,37,Optimal_No_Action
72.3,26.9,8.4,20.4,Mixed_Household,48,Add_Water
31.7,55.8,5.9,38.6,Mixed_Household,46,Add_Bacillus_Enzyme
57.3,50.7,6.0,32.3,Mixed_Household,30,Optimal_No_Action
32.0,46.2,6.6,39.2,Yard_Waste,50,Add_Bacillus_Enzyme
62.4,64.5,7.2,25.9,Market_Vegetable,22,Optimal_No_Action
72.7,75.2,7.0,34.9,Market_Vegetable,33,Turn_Pile_Aeration
62.4,38.0,5.7,27.3,Mixed_Household,34,Add_Water
61.4,53.3,5.3,34.9,Mixed_Household,34,Optimal_No_Action
60.5,74.2,7.0,24.0,Yard_Waste,35,Turn_Pile_Aeration
67.5,38.2,5.3,38.6,Yard_Waste,50,Add_Water
59.5,47.9,6.3,21.4,Mixed_Household,30,Optimal_No_Action
65.7,77.6,7.4,34.8,Mixed_Household,37,Turn_Pile_Aeration
53.2,58.0,5.8,39.6,Market_Vegetable,32,Optimal_No_Action
60.3,33.5,5.3,15.7,Market_Vegetable,39,Add_Water
74.3,56.7,7.6,28.7,Yard_Waste,36,Turn_Pile_Aeration
55.9,63.1,6.0,27.0,Market_Vegetable,25,Optimal_No_Action
59.5,20.3,7.5,38.1,Market_Vegetable,37,Add_Water
65.0,33.1,7.7,35.9,Mixed_Household,39,Add_Water
32.3,35.0,7.9,28.7,Mixed_Household,46,Add_Water
60.0,79.3,6.9,43.5,Mixed_Household,39,Turn_Pile_Aeration
57.6,63.2,6.5,39.9,Yard_Waste,39,Optimal_No_Action
50.1,29.5,7.9,28.5,Market_Vegetable,34,Add_Water
67.8,36.6,7.6,29.5,Market_Vegetable,30,Add_Water
42.4,24.6,5.6,23.2,Mixed_Household,50,Add_Water
70.2,24.8,5.1,26.5,Market_Vegetable,42,Add_Water
61.8,23.9,6.1,31.3,Mixed_Household,39,Add_Water
32.8,70.0,6.1,38.1,Yard_Waste,50,Add_Bacillus_Enzyme
30.9,72.8,6.8,29.3,Mixed_Household,43,Add_Bacillus_Enzyme
43.4,43.4,8.1,40.1,Yard_Waste,50,Optimal_No_Action
63.6,52.8,6.9,21.6,Market_Vegetable,22,Optimal_No_Action
42.3,49.1,6.1,35.1,Mixed_Household,39,Optimal_No_Action
62.6,70.4,8.2,44.4,Yard_Waste,48,Turn_Pile_Aeration
31.2,43.6,6.8,15.8,Yard_Waste,50,Add_Sawdust_Carbon
49.3,72.0,5.2,22.8,Mixed_Household,44,Turn_Pile_Aeration
39.5,39.6,7.5,26.4,Mixed_Household,39,Add_Water
41.4,24.9,4.6,31.2,Mixed_Household,50,Add_Water
40.1,24.1,8.3,16.2,Market_Vegetable,50,Add_Water
72.7,32.0,4.6,19.6,Market_Vegetable,47,Add_Water
51.3,26.9,8.3,29.0,Mixed_Household,42,Add_Water
64.5,30.1,6.9,37.4,Market_Vegetable,33,Add_Water
65.0,29.8,5.7,32.4,Mixed_Household,41,Add_Water
55.9,74.5,6.0,43.2,Market_Vegetable,38,Turn_Pile_Aeration
33.4,61.4,7.0,18.1,Mixed_Household,41,Add_Sawdust_Carbon
68.3,56.0,5.0,44.5,Market_Vegetable,39,Turn_Pile_Aeration
45.6,45.7,6.0,30.2,Mixed_Household,37,Optimal_No_Action
30.6,45.2,6.5,28.0,Mixed_Household,41,Add_Bacillus_Enzyme
58.6,69.7,7.3,28.1,Yard_Waste,33,Turn_Pile_Aeration
53.5,59.0,7.0,42.6,Mixed_Household,33,Optimal_No_Action
50.9,69.5,6.9,24.7,Market_Vegetable,27,Turn_Pile_Aeration
67.4,25.2,8.0,22.3,Mixed_Household,44,Add_Water
55.6,60.1,5.8,29.8,Mixed_Household,31,Optimal_No_Action
38.2,32.7,7.7,25.2,Yard_Waste,50,Add_Water
61.6,36.6,4.5,43.4,Market_Vegetable,44,Add_Water
40.9,44.4,6.7,22.2,Mixed_Household,38,Optimal_No_Action
59.1,49.4,7.7,17.8,Market_Vegetable,27,Add_Sawdust_Carbon
48.2,34.6,7.2,26.1,Yard_Waste,41,Add_Water
53.9,45.5,7.5,24.9,Yard_Waste,36,Optimal_No_Action
50.4,38.4,5.4,36.6,Mixed_Household,44,Add_Water
35.4,52.2,7.5,20.6,Market_Vegetable,35,Add_Bacillus_Enzyme
63.2,36.6,6.9,37.8,Yard_Waste,40,Add_Water
42.7,26.0,5.3,21.8,Market_Vegetable,47,Add_Water
43.6,62.5,5.0,16.4,Market_Vegetable,43,Add_Sawdust_Carbon
54.9,61.8,5.0,41.1,Mixed_Household,43,Optimal_No_Action
34.6,20.7,5.6,29.4,Mixed_Household,50,Add_Water
38.3,23.1,8.3,29.3,Market_Vegetable,45,Add_Water
48.0,24.4,7.0,16.6,Market_Vegetable,40,Add_Water
66.5,76.9,4.8,22.4,Yard_Waste,50,Turn_Pile_Aeration
64.4,56.4,7.7,21.8,Yard_Waste,34,Optimal_No_Action
47.1,74.5,5.7,32.7,Mixed_Household,43,Turn_Pile_Aeration
43.7,57.3,6.9,37.2,Market_Vegetable,30,Optimal_No_Action
58.1,35.9,4.8,22.2,Yard_Waste,48,Add_Water
33.4,20.2,6.3,32.8,Mixed_Household,50,Add_Water
31.5,37.3,5.6,40.8,Market_Vegetable,50,Add_Water
60.9,75.4,7.7,33.8,Yard_Waste,40,Turn_Pile_Aeration
66.2,31.9,5.0,21.7,Market_Vegetable,41,Add_Water
70.9,69.6,4.8,20.0,Mixed_Household,47,Turn_Pile_Aeration
56.8,69.5,8.2,28.2,Mixed_Household,33,Turn_Pile_Aeration
61.0,62.0,8.3,30.0,Mixed_Household,31,Optimal_No_Action
49.7,55.9,8.1,37.0,Yard_Waste,41,Optimal_No_Action
41.3,25.5,8.3,40.1,Yard_Waste,50,Add_Water
56.4,21.2,7.6,39.6,Yard_Waste,50,Add_Water
31.8,65.4,6.4,34.5,Mixed_Household,45,Add_Bacillus_Enzyme
38.2,55.1,7.0,29.8,Market_Vegetable,27,Add_Bacillus_Enzyme
51.2,44.5,5.8,18.1,Market_Vegetable,35,Add_Sawdust_Carbon
44.8,61.6,5.7,43.4,Yard_Waste,50,Optimal_No_Action
31.7,25.3,5.5,18.5,Mixed_Household,50,Add_Water
68.9,69.5,4.5,41.1,Mixed_Household,50,Turn_Pile_Aeration
48.6,31.3,5.9,37.7,Yard_Waste,50,Add_Water
49.9,23.1,5.6,18.9,Mixed_Household,50,Add_Water
49.7,61.9,5.0,44.2,Yard_Waste,50,Optimal_No_Action
66.0,62.6,5.7,15.4,Mixed_Household,40,Add_Sawdust_Carbon
34.2,79.5,8.2,28.8,Market_Vegetable,44,Add_Bacillus_Enzyme
59.1,29.2,8.2,23.8,Yard_Waste,44,Add_Water
42.3,70.1,8.4,22.3,Yard_Waste,50,Turn_Pile_Aeration
36.5,31.4,6.9,37.4,Market_Vegetable,42,Add_Water
68.9,36.6,7.7,27.4,Yard_Waste,40,Add_Water
42.0,20.2,7.4,40.1,Yard_Waste,50,Add_Water
75.0,49.4,5.1,31.2,Mixed_Household,41,Turn_Pile_Aeration
45.0,65.8,6.0,43.0,Market_Vegetable,40,Turn_Pile_Aeration
74.1,34.3,6.0,40.7,Mixed_Household,47,Add_Water
32.0,64.7,7.3,39.3,Mixed_Household,46,Add_Bacillus_Enzyme
74.5,67.5,7.1,19.6,Market_Vegetable,32,Add_Sawdust_Carbon
35.7,77.9,5.8,18.0,Mixed_Household,50,Add_Sawdust_Carbon
34.5,74.6,4.6,19.3,Yard_Waste,50,Add_Sawdust_Carbon
73.6,24.5,7.6,23.0,Yard_Waste,50,Add_Water
61.2,59.0,7.9,40.6,Yard_Waste,39,Optimal_No_Action
47.1,39.0,7.4,37.8,Yard_Waste,45,Add_Water
31.6,24.1,7.0,42.6,Market_Vegetable,50,Add_Water
63.6,46.0,4.9,34.0,Market_Vegetable,34,Optimal_No_Action
50.0,61.6,8.1,16.4,Market_Vegetable,35,Add_Sawdust_Carbon
43.2,42.5,5.1,30.9,Yard_Waste,49,Optimal_No_Action
60.7,30.8,5.2,33.3,Mixed_Household,42,Add_Water
57.9,34.4,8.2,19.3,Mixed_Household,40,Add_Water
58.7,47.6,7.2,42.0,Mixed_Household,33,Optimal_No_Action
70.6,60.7,5.1,28.3,Mixed_Household,37,Turn_Pile_Aeration
74.4,37.9,8.3,35.7,Mixed_Household,45,Add_Water
68.0,32.0,6.0,29.5,Market_Vegetable,34,Add_Water
47.2,41.5,5.7,36.0,Market_Vegetable,38,Optimal_No_Action
74.0,59.5,5.6,32.0,Yard_Waste,43,Turn_Pile_Aeration
65.0,78.4,8.1,37.4,Mixed_Household,43,Turn_Pile_Aeration
64.9,33.8,7.7,21.6,Market_Vegetable,33,Add_Water
57.9,60.7,7.4,34.8,Market_Vegetable,24,Optimal_No_Action
58.3,74.2,7.1,24.3,Mixed_Household,31,Turn_Pile_Aeration
31.5,41.9,5.0,42.3,Mixed_Household,50,Add_Bacillus_Enzyme
63.6,30.5,5.0,31.2,Mixed_Household,43,Add_Water
53.9,74.8,7.8,22.7,Mixed_Household,38,Turn_Pile_Aeration
73.5,37.7,8.0,39.1,Mixed_Household,45,Add_Water
73.3,28.4,8.4,40.8,Yard_Waste,50,Add_Water
60.3,43.8,7.9,31.7,Market_Vegetable,26,Optimal_No_Action
65.6,20.8,6.6,28.6,Yard_Waste,43,Add_Water
63.7,35.7,6.0,34.2,Mixed_Household,38,Add_Water
34.9,34.0,4.6,41.5,Yard_Waste,50,Add_Water
44.8,56.6,7.1,34.1,Mixed_Household,32,Optimal_No_Action
70.9,38.1,6.1,19.2,Market_Vegetable,36,Add_Water
43.7,49.6,4.9,41.6,Market_Vegetable,43,Optimal_No_Action
47.5,42.3,8.3,35.9,Yard_Waste,47,Optimal_No_Action
48.9,64.5,5.1,27.4,Market_Vegetable,34,Optimal_No_Action
67.5,56.9,8.3,23.4,Yard_Waste,38,Turn_Pile_Aeration
46.7,46.6,8.3,40.7,Market_Vegetable,39,Optimal_No_Action
74.1,42.0,8.1,34.3,Market_Vegetable,36,Turn_Pile_Aeration
47.9,31.4,5.0,40.4,Mixed_Household,50,Add_Water
34.1,32.7,7.1,44.1,Market_Vegetable,47,Add_Water
65.4,34.6,5.0,31.9,Market_Vegetable,38,Add_Water
67.3,53.3,6.8,39.4,Market_Vegetable,27,Turn_Pile_Aeration
44.8,28.9,8.1,15.1,Market_Vegetable,46,Add_Water
74.4,52.4,7.7,18.3,Market_Vegetable,32,Add_Sawdust_Carbon
35.9,41.5,7.7,32.7,Market_Vegetable,38,Add_Bacillus_Enzyme
37.8,23.1,7.5,30.8,Yard_Waste,50,Add_Water
32.9,46.9,5.9,32.8,Mixed_Household,45,Add_Bacillus_Enzyme
52.7,76.7,4.7,38.5,Yard_Waste,50,Turn_Pile_Aeration
53.5,47.5,8.4,16.8,Mixed_Household,39,Add_Sawdust_Carbon
68.1,45.6,4.9,36.4,Mixed_Household,43,Turn_Pile_Aeration
33.3,24.8,6.9,17.0,Mixed_Household,50,Add_Water
58.1,55.1,7.3,26.4,Yard_Waste,28,Optimal_No_Action
53.9,47.2,6.9,18.0,Yard_Waste,37,Add_Sawdust_Carbon
35.1,59.3,8.0,31.5,Market_Vegetable,36,Add_Bacillus_Enzyme
49.4,73.3,6.2,39.8,Mixed_Household,43,Turn_Pile_Aeration
48.7,25.7,6.2,35.0,Mixed_Household,45,Add_Water
72.9,61.2,6.4,17.7,Market_Vegetable,33,Add_Sawdust_Carbon
34.2,25.8,7.5,39.4,Yard_Waste,50,Add_Water
32.7,77.4,6.7,35.1,Mixed_Household,48,Add_Bacillus_Enzyme
45.9,59.9,7.5,41.0,Yard_Waste,44,Optimal_No_Action
32.3,37.3,5.7,18.1,Yard_Waste,50,Add_Water
39.6,59.4,5.4,18.2,Yard_Waste,50,Add_Sawdust_Carbon
46.5,65.8,6.8,39.2,Yard_Waste,43,Turn_Pile_Aeration
73.9,69.1,7.0,34.3,Market_Vegetable,31,Turn_Pile_Aeration
57.4,59.5,7.3,15.9,Mixed_Household,31,Add_Sawdust_Carbon
61.6,38.5,5.9,15.2,Market_Vegetable,35,Add_Water
55.5,44.0,5.1,34.0,Market_Vegetable,34,Optimal_No_Action
34.1,51.8,6.0,28.6,Market_Vegetable,34,Add_Bacillus_Enzyme
46.7,63.3,7.6,32.0,Market_Vegetable,30,Optimal_No_Action
69.8,29.3,7.5,16.5,Market_Vegetable,39,Add_Water
42.2,59.7,6.4,28.3,Mixed_Household,33,Optimal_No_Action
39.7,50.7,5.9,18.3,Yard_Waste,48,Add_Sawdust_Carbon
60.5,49.2,7.2,16.4,Mixed_Household,30,Add_Sawdust_Carbon
74.3,23.3,5.3,43.4,Market_Vegetable,50,Add_Water
64.4,37.4,5.0,29.9,Mixed_Household,40,Add_Water
37.9,42.8,7.3,30.0,Yard_Waste,43,Add_Bacillus_Enzyme
66.3,24.3,7.9,16.3,Market_Vegetable,41,Add_Water
50.7,24.7,5.8,27.9,Mixed_Household,42,Add_Water
61.9,45.1,5.0,15.6,Mixed_Household,42,Add_Sawdust_Carbon
37.7,76.9,6.3,35.7,Mixed_Household,48,Add_Bacillus_Enzyme
34.0,70.7,5.5,32.7,Yard_Waste,50,Add_Bacillus_Enzyme
33.5,72.2,7.5,21.6,Market_Vegetable,41,Add_Bacillus_Enzyme
33.4,58.0,6.6,20.8,Mixed_Household,40,Add_Bacillus_Enzyme
45.8,77.5,7.1,19.4,Market_Vegetable,36,Add_Sawdust_Carbon
36.6,31.8,6.9,37.8,Yard_Waste,50,Add_Water
33.4,77.1,7.0,28.9,Yard_Waste,47,Add_Bacillus_Enzyme
64.2,46.9,8.2,31.9,Yard_Waste,38,Optimal_No_Action
74.4,39.4,8.4,24.5,Mixed_Household,42,Add_Water
33.1,46.5,5.7,23.2,Market_Vegetable,41,Add_Bacillus_Enzyme
45.8,24.5,6.3,16.1,Mixed_Household,49,Add_Water
67.4,24.6,8.0,40.7,Yard_Waste,50,Add_Water
56.7,43.1,6.8,43.6,Yard_Waste,41,Optimal_No_Action
70.3,47.0,7.7,34.6,Mixed_Household,35,Turn_Pile_Aeration
57.2,50.1,8.3,28.5,Mixed_Household,30,Optimal_No_Action
74.2,25.1,7.1,16.2,Yard_Waste,50,Add_Water
49.7,46.4,6.6,19.8,Mixed_Household,35,Add_Sawdust_Carbon
71.3,43.2,7.6,35.4,Market_Vegetable,32,Turn_Pile_Aeration
65.5,58.8,4.8,17.8,Yard_Waste,46,Add_Sawdust_Carbon
47.4,35.1,7.9,43.9,Yard_Waste,50,Add_Water
69.3,40.0,6.8,19.2,Mixed_Household,36,Add_Sawdust_Carbon
44.0,59.4,7.1,18.9,Yard_Waste,40,Add_Sawdust_Carbon
72.2,38.6,6.0,38.7,Market_Vegetable,39,Add_Water
60.2,69.7,7.5,35.6,Yard_Waste,38,Turn_Pile_Aeration
34.2,60.2,6.5,15.5,Mixed_Household,44,Add_Sawdust_Carbon
38.1,32.9,8.3,29.6,Market_Vegetable,42,Add_Water
75.0,29.3,5.7,38.6,Yard_Waste,50,Add_Water
64.7,70.1,8.0,16.1,Mixed_Household,40,Add_Sawdust_Carbon
69.4,57.1,6.9,19.6,Market_Vegetable,26,Add_Sawdust_Carbon
67.4,66.3,7.7,20.0,Mixed_Household,36,Turn_Pile_Aeration
32.0,41.9,7.4,44.1,Yard_Waste,50,Add_Bacillus_Enzyme
42.8,64.9,6.3,31.0,Mixed_Household,37,Optimal_No_Action
73.5,67.1,8.1,20.8,Yard_Waste,46,Turn_Pile_Aeration
72.6,79.1,6.3,23.5,Mixed_Household,42,Turn_Pile_Aeration
52.6,45.1,5.1,21.0,Yard_Waste,46,Optimal_No_Action
36.2,35.0,7.1,41.2,Yard_Waste,50,Add_Water
72.0,62.7,6.6,18.7,Market_Vegetable,31,Add_Sawdust_Carbon
64.3,36.4,8.1,19.4,Mixed_Household,40,Add_Water
34.1,74.6,7.8,41.5,Market_Vegetable,47,Add_Bacillus_Enzyme
48.7,43.8,6.0,26.6,Market_Vegetable,30,Optimal_No_Action
46.9,21.7,8.2,40.2,Yard_Waste,50,Add_Water
45.1,28.8,4.7,42.5,Mixed_Household,50,Add_Water
61.3,28.3,7.3,28.5,Market_Vegetable,28,Add_Water
70.8,21.1,5.4,19.5,Yard_Waste,50,Add_Water
57.4,45.4,7.6,22.1,Market_Vegetable,26,Optimal_No_Action
32.1,45.2,7.7,28.7,Market_Vegetable,36,Add_Bacillus_Enzyme
67.7,50.0,6.6,34.0,Yard_Waste,36,Turn_Pile_Aeration
40.9,28.6,6.2,33.4,Market_Vegetable,42,Add_Water
55.7,31.2,7.2,30.7,Mixed_Household,34,Add_Water
33.0,51.6,6.5,44.6,Yard_Waste,50,Add_Bacillus_Enzyme
30.9,72.4,4.7,26.6,Mixed_Household,50,Add_Bacillus_Enzyme
41.4,21.0,7.7,25.3,Yard_Waste,50,Add_Water
59.6,26.2,6.8,37.7,Market_Vegetable,33,Add_Water
32.0,52.8,7.8,20.3,Yard_Waste,48,Add_Bacillus_Enzyme
50.9,61.7,7.0,39.3,Market_Vegetable,29,Optimal_No_Action
62.2,76.6,4.6,21.0,Market_Vegetable,40,Turn_Pile_Aeration
69.9,38.9,5.7,26.9,Yard_Waste,43,Add_Water
51.3,22.2,7.1,23.6,Market_Vegetable,35,Add_Water
69.0,39.9,5.0,26.0,Mixed_Household,41,Add_Water
63.4,73.7,6.0,44.2,Mixed_Household,43,Turn_Pile_Aeration
61.1,42.0,7.7,23.0,Market_Vegetable,27,Optimal_No_Action
62.7,24.7,6.9,39.7,Yard_Waste,45,Add_Water
43.2,26.2,5.8,23.9,Mixed_Household,48,Add_Water
57.1,45.6,7.3,25.5,Market_Vegetable,23,Optimal_No_Action
62.7,74.7,7.0,28.0,Yard_Waste,34,Turn_Pile_Aeration
74.1,76.9,4.8,34.1,Mixed_Household,50,Turn_Pile_Aeration
53.1,65.0,5.1,15.9,Yard_Waste,49,Add_Sawdust_Carbon
60.5,46.3,5.0,22.1,Yard_Waste,42,Optimal_No_Action
46.5,43.0,6.8,33.2,Yard_Waste,40,Optimal_No_Action
50.2,42.3,6.3,17.3,Market_Vegetable,34,Add_Sawdust_Carbon
53.8,43.9,7.1,22.5,Market_Vegetable,26,Optimal_No_Action
31.2,31.2,6.6,42.4,Market_Vegetable,49,Add_Water
41.8,35.6,6.3,44.9,Mixed_Household,50,Add_Water
61.2,79.9,5.3,19.1,Market_Vegetable,39,Add_Sawdust_Carbon
50.3,73.9,6.3,17.6,Yard_Waste,47,Add_Sawdust_Carbon
73.5,79.2,7.2,36.3,Yard_Waste,47,Turn_Pile_Aeration
54.4,73.5,7.9,36.4,Yard_Waste,44,Turn_Pile_Aeration
